,image_url,category_labels
0,https://directory.art/_next/image/?url=https%3A%2F%2Fcontent.directory.art%2Fmedia%2Fuser%2Fartvisionnft%2Fpost%2F2023%2F9%2F22b3c39a-8269-4eb6-ae6d-c36bdba49d70.jpg&w=1200&q=75,"['3D art', 'NFT art', 'Photography']"
1,https://directory.art/_next/image/?url=https%3A%2F%2Fcontent.directory.art%2Fmedia%2Fuser%2Fartvisionnft%2Fpost%2F2023%2F8%2F35937ba1-c19a-4a93-8ea9-061c3c73b1da.png&w=1200&q=75,"['3D art', 'NFT art', 'Photography']"
2,https://directory.art/_next/image/?url=https%3A%2F%2Fcontent.directory.art%2Fmedia%2Fuser%2Fartvisionnft%2Fpost%2F2023%2F8%2F34850f75-8846-4f43-b27d-689e3740ede9.jpg&w=1200&q=75,"['3D art', 'NFT art', 'Photography']"
3,https://directory.art/_next/image/?url=https%3A%2F%2Fcontent.directory.art%2Fmedia%2Fuser%2Fartvisionnft%2Fpost%2F2023%2F8%2F7cabe4e9-de41-4f8b-ba65-02c17d8eb364.png&w=1200&q=75,"['3D art', 'NFT art', 'Photography']"
4,https://directory.art/_next/image/?url=https%3A%2F%2Fcontent.directory.art%2Fmedia%2Fuser%2Fartvisionnft%2Fpost%2F2023%2F8%2F4479d532-2cda-4824-a840-891140723584.png&w=1200&q=75,"['3D art', 'NFT art', 'Photography']"
5,https://directory.art/_next/image/?url=https%3A%2F%2Fcontent.directory.art%2Fmedia%2Fuser%2Fartvisionnft%2Fpost%2F2023%2F7%2F41f76210-81e2-43dc-96cd-c91fea451d26.avif&w=1200&q=75,"['3D art', 'NFT art', 'Photography']"
6,https://directory.art/_next/image/?url=https%3A%2F%2Fcontent.directory.art%2Fmedia%2Fuser%2Fartvisionnft%2Fpost%2F2023%2F7%2Fbd8814a7-6a0a-4d37-a7af-24d7cd68d47d.avif&w=1200&q=75,"['3D art', 'NFT art', 'Photography']"
7,https://directory.art/_next/image/?url=https%3A%2F%2Fcontent.directory.art%2Fmedia%2Fuser%2Fartvisionnft%2Fpost%2F2023%2F7%2F2ea7df08-e465-4863-881f-98a28be89a9c.avif&w=1200&q=75,"['3D art', 'NFT art', 'Photography']"
8,https://directory.art/_next/image/?url=https%3A%2F%2Fcontent.directory.art%2Fmedia%2Fuser%2Fmej%2Fpost%2F2023%2F7%2F3799e5c2-2c7c-45c3-b932-1958e70758de.avif&w=1200&q=75,"['3D art', 'Animation', 'Digital art', 'Filmmaking', 'Graphic design', 'Performance art', 'Video editing', 'Videography']"
9,https://directory.art/_next/image/?url=https%3A%2F%2Fcontent.directory.art%2Fmedia%2Fuser%2Fmej%2Fpost%2F2023%2F7%2Fe5beae9a-f0b6-419a-8633-7ae68c3e6b14.avif&w=1200&q=75,"['3D art', 'Animation', 'Digital art', 'Filmmaking', 'Graphic design', 'Performance art', 'Video editing', 'Videography']"
10,https://directory.art/_next/image/?url=https%3A%2F%2Fcontent.directory.art%2Fmedia%2Fuser%2Ffiloo%2Fpost%2F2023%2F8%2F637ee2d1-61ee-4685-adc5-e7aeb5b9e37b.jpg&w=1200&q=75,"['3D art', 'Animation', 'Conceptual art', 'Digital art', 'Illustration', 'Sculpture', 'Video art']"
11,https://directory.art/_next/image/?url=https%3A%2F%2Fcontent.directory.art%2Fmedia%2Fuser%2Ffiloo%2Fpost%2F2023%2F7%2F78d41fb1-2b1a-4de8-978a-0cf5688ef090.avif&w=1200&q=75,"['3D art', 'Animation', 'Conceptual art', 'Digital art', 'Illustration', 'Sculpture', 'Video art']"
12,https://directory.art/_next/image/?url=https%3A%2F%2Fcontent.directory.art%2Fmedia%2Fuser%2Ffiloo%2Fpost%2F2023%2F7%2Fe2bfb243-74b4-4675-9481-a3f6843da557.avif&w=1200&q=75,"['3D art', 'Animation', 'Conceptual art', 'Digital art', 'Illustration', 'Sculpture', 'Video art']"
